app_number,description,is_published_case_study
79,"Case Study 2: Brazilian Company - Launching a New Product Line in the UK Client's Goal: A Brazilian beauty company sought to introduce a new line of organic skincare products to the discerning UK market, targeting health-conscious consumers. Our Engagement: OneTerra Consulting worked closely with the Brazilian company to understand their product offering and target audience. We conducted thorough market research to identify key consumer segments and devised a tailored marketing and advertising strategy. Our team developed a visually captivating website, optimized for search engines, and implemented a comprehensive social media campaign highlighting the organic and sustainable aspects of the skincare line. Outcome: Through our strategic marketing efforts, the Brazilian beauty company successfully launched their organic skincare line in the UK market. The company received positive feedback from customers and industry influencers, resulting in increased brand recognition and a growing customer base. The website experienced a surge in traffic and online sales, validating the effectiveness of our digital marketing approach. The successful entry into the UK market established the foundation for the company's continued growth and success in the beauty industry.",TRUE
125,"Trelleborg AB is a global engineering group headquartered in Sweden. Trelleborg’s aim was to acquire two UK companies, KLAW Products and Gall Thomson Environmental, as part of their plan to grow their Fluid Handling Solutions brand.  Potter Clarkson have been IP advisors to KLAW Products and Gall Thomson Environmental for many years. A key aspect of our service has focused on the filing and prosecution of patent and trade mark applications for their safety-critical systems and valve technology for flow control applications, particularly in the safe transfer of hazardous and non-hazardous liquids, gases and powder. We helped create a scaled-up IP strategy to meet new business objectives, including an increased focus on generating and protecting new IP assets.  The creation of a hugely valuable IP portfolio was a key factor in the full acquisition of these two companies by Trelleborg, expanding their investment into the UK. We continue to be a key strategic partner to the Trelleborg Group and the two UK companies to manage and grow their IP portfolio.",FALSE
125,"Sosei Heptares, a premier biopharmaceutical group established through the purchase of UK-based Heptares Therapeutics by the Japanese group Sosei, creates and develops new medicines for serious diseases lacking adequate treatment options. Upon its inception in 2007, Heptares required expert advice to devise an IP strategy for its pioneering GPCR drug discovery platform technologies and collaborated with Potter Clarkson. The biotech team at Potter Clarkson utilized their profound scientific understanding and legal expertise to secure commercially viable patent protection. This protection was instrumental in Heptares’ business success, facilitating fundraising efforts and fostering valuable partnerships with numerous global pharmaceutical leaders. Potter Clarkson, demonstrating comprehensive biotech knowledge and international expertise, supported the client throughout its growth and secured a patent portfolio that fortified Heptares’ commercial strategy. The firm's proprietary technologies proved advantageous in securing financing and partnership agreements with world-renowned pharmaceutical and biologics companies. The agreements have yielded over USD 30 million in upfront and milestone payments, and are projected to continue producing revenues in the coming years. The solid patent portfolio also played a significant role in Sosei Group's subsequent USD 400 million acquisition of Heptares in 2015. Heptares' then-CEO lauded it as a stellar instance of converting exceptional UK academic science into economic and potential therapeutic value. Potter Clarkson continues to serve the resulting company, Sosei Heptares, underlining their role as a valuable ally for foreign direct investors.",FALSE
114,"We acted for a US-based real estate investment company that looked to set up a UK-based subsidiary for the purpose of expansion into the UK, in order to replicate their successful overseas investment advisory model. The company has so far invested $9 billion in the United States, Mexico, Europe, and Japan. The company looked to send a senior individual from its overseas parent company to the UK. Fragomen advised on the available immigration options to bring over the individual and established viability and suitability of the company to apply for a UK Expansion Worker sponsor licence. As the intention was for the individual to remain in the UK for a longer period than the UK Expansion Worker route allows, we also provided advice as to the viability to convert the licence into a Skilled Worker licence. Given the UK Expansion Worker route is still a new route, we liaised with the Home Office policy team to clarify guidance regarding the company’s intended ownership structure set up, provided advice on the options and liaised with the Home Office to supply additional documentation and information. Fragomen worked expeditiously and successfully supported the company to secure the UK Expansion Worker sponsor licence and a visa for the individual and their family. We are now working with the company to convert its licence to a Skilled Worker licence which will allow for sponsorship for multiple new employees that may require sponsorship and assist with helping the company to realise its UK expansion plans.",TRUE
114,"We acted for a well-known online content creator in moving his business to the UK. Our client operated a business employing several people in the US through an innovative business model centering around the production of videos, creation of a large online following and sale of advertising space on the website. The client planned to expand into the UK by establishing a UK branch, and launching a website specific to the UK market. With this business expansion came the creation of two UK based roles (a copywriter and an assistant). The intention will be to grow the business further once established. We assisted the client with the creation of a business plan including financial projections showing that the planned UK expansion was commercially viable and promising of revenue growth. This was supported by evidence from the SEO agency, evidence of a trading history and cash reserves sufficient to support the plan. Fragomen advised the client on the best immigration strategy for them to enable them to meet their objectives on a personal and business level. With our assistance the client submitted a compelling case to UKVI for a UK visa that will enable him to live and work in the UK with options to obtain settlement and citizenship in the future. We anticipate a favourable result shortly.",TRUE
101,"Our debt and insolvency team are working with a state-funded and policy-oriented insurance company in China since 2012 providing advice on debt recovery matters. Since 2012 we have been entrusted on hundreds of cases, receiving a very high success rate whether that is obtaining payment from the debtor, establishing a payment plan or starting litigation either by way of High Court proceedings or proceedings in the Companies Court. We also monitor those cases where debtors have gone into some form of insolvency to ensure that the client is informed as to the progress of the insolvency process and the likely percentage payment that is going to be made to ordinary creditors and whether the Policyholder's claim is accepted as being correct.  The range of value of cases entrusted to Ward Hadaway is very large – from a few thousand dollars on the one hand to $40 million on the other. For example: We advised the client in a case involving up to $40 million where the transaction between the clients Policyholder and the debtor did not appear to be the sale of goods but rather a financing arrangement and accordingly did not come within the terms of the credit insurance policy issued. This case ultimately resulted in an arbitration in China between the client and their Policyholder which was decided in the clients favour. We also assisted with the evidence presented to that arbitration.",FALSE
101,"Our commercial team are working with a premier industrial tools, services, technology and solutions provider which is headquartered in the USA, providing a range of commercial advice. This has included: • Acting as lead external counsel across the EMEA region in regard to the inter-merger which involved merging all UK operations into one arm of the group's structure. This key project involved liaising with regional general counsel to co-ordinate legal input across EMEA in regard to the merger/integration of all relevant businesses within each jurisdiction. The project involved the hive up, and transfer of various assets, and also some share transactions within the UK specifically. We advised on assignment and novation of contracts, intellectual property portfolio, employment law considerations and real property. • Advising on over $20m USD of commercial contracts, mostly with Tier 2 offshore providers • Providing company secretarial support • Providing general data protection advice, including on an intra-group data protection agreement.",FALSE
102,"We were appointed to undertake a UK tax due diligence exercise for a US corporation that was purchasing a UK company. Our work involved reviewing the corporation tax, VAT and payroll compliance and reporting to the US purchaser in respect of any compliance breaches or errors. Additionally, we reviewed the tax warranties and indemnities in the Sale and Purchase Agreement to ensure that the purchaser obtained sufficient financial protection against the risk areas we identified in our due diligence report. Our team consisted of specialists in corporation tax, VAT and payroll who worked together to produce a detailed tax due diligence report. One key risk area identified was in relation to employment taxes and the operation of the Covid-19 Job Retention Scheme. We reviewed the calculation of the claims under the Scheme and highlighted areas of risk, particularly considering the announcement that HMRC would be reviewing such claims due to their suspicion that substantial levels of fraud have taken place. A further area of risk was the use of self-employed contractors rather than payroll employees. We highlighted the risk of HMRC challenge under IR35 and explained the procedures that the purchaser will need to ensure are implemented once it acquired the target company. We undertook the due diligence review to a strict timetable and met the deadlines that were imposed. We explained our findings to the purchaser’s US tax advisors so that they could consider any US tax implications. The acquisition was successful and the transaction completed in March 2023.",FALSE
102,We were appointed to assist a Netherlands corporate group that wanted to commence business in the UK. We advised the group on the pros and cons of operating via a UK branch of the Netherlands parent company or through a UK subsidiary company. The decision was taken to incorporate a UK subsidiary which would undertake the business in the UK. We advised the client and assisted with the initial set up of the UK subsidiary covering: 1. Companies House registration and annual filings 2. Appointment of directors 3. VAT registration 4. Payroll scheme registration 5. Registration with HMRC for corporation tax 6. Filing requirements in relation to statutory financial statements 7. Transfer pricing obligations The UK subsidiary is part of a larger worldwide group and is therefore subject to audit. We have therefore undertaken the audit of the financial statements together with preparation of the annual corporation tax return. We provide ongoing advice to the directors and report regularly to the Netherlands parent company’s Board of Directors.,FALSE
126,"A technology company based in Ireland approached Align People HR for assistance with their expansion plans into the UK.  They required our expertise to employ a new sales team to be based in the UK. Their primary concerns was ensuring compliance with UK employment laws and establishing comprehensive employment contracts tailored to the UK.  We initially spent time understanding our client’s specific needs and objectives and their business strategy and plans through virtual meetings. Taking time to understand their current practices allowed us to identify areas of adjustment to align with UK employment law. With our expertise in UK employment regulations, we developed custom employment contracts that met the specific needs of the technology company. These contracts covered essential aspects such as job descriptions, working hours, compensation, benefits, confidentiality and intellectual property rights.  Simultaneously, we created comprehensive HR policies tailored to the UK market. The policies encompassed various areas including: equality, diversity and inclusion, parental rights and employee relations processes. Throughout the process, we maintained open communication with the client, providing regular updates and seeking their input to ensure that the final contracts and policies aligned with their business objectives and culture. Once the new employment contracts and policies were finalised, we facilitated the onboarding of employees in the UK. Our team ensured that all new hires received and understood their contact and had access to the HR policies.",TRUE
126,"A safety footwear manufacturing company with headquarters in the USA, purchased a PPE supply company as a going concern to enter directly into the UK market buying 100% ownership of the small owner managed business, based in Aberdeen, Scotland. Working as the sole HR representative at the time, we engaged with the overseas business by providing information on UK employment legislation, HR management information and held communication meetings with the Organisational Development, Legal and Vice President of the incoming organisation.  We were appointed Champion of the Change programme and transitioned all UK employees over to the parent company culture and way of doing business. This was a major change for existing employees and there was an excitement generated about the takeover rather than any concerns.  The transition involved championing the new company culture, the employee incentive bonus scheme, the employee career conversations, talent management and succession planning to help the existing business continue to be successful under the new ownership.  The parent company way of doing business in a large matrix organisation was also part of the change that was incorporated. This meant embracing a more collaborative way of working for the management before decisions could be made. The work completed by HR contributed to the takeover being successful. The US Company got their foothold in the UK market and continue to be a sustainable, thriving business today.",TRUE
117,"Majestic Corporation Limited is a HK based company which is in the recycling business sector. They focus mainly on Environmentally friendly recycling and recovery waste electrical and electronic equipment WEEE and catalytic converters. The CEO has related business entities in UK, America, Europe, Malaysia and Australia. We act for their UK related company. They have attained many recycling licenses around the globe and continue to expand its operations worldwide. In the summer of 2021, they wanted to explore the opportunity of a UK public listing. After consulting us we assembled a professional team which consisted of a UK law firm, reporting accountant firm and UK corporate advisors to conduct a thorough due diligence process. We concluded the UK Aquis market was most suitable and successfully listed the client’s Hong Kong Company in March 2022. Currently the UK plc has rented a warehouse in Deeside and looking at the next stage of their expansion plans which involves looking at a site to process higher volumes of recycled materials. This will help the UK economy as this project will require manpower. Our team was able to assist the client with UK Plc company formation, corporate advisory services to enable public listing, opening business bank account, register for VAT and auditing the accounts. We have acted for Majestic Corporation Plc for over 15 months and have board meetings monthly to discuss their management accounts as well as offering business advisory services helping to shape their future expansion plans in the UK.",FALSE
117,"Keychain Fintech is a successful Hong Kong company which empowers people to manage rent payment smart, safe, and with more Cashback by creating a next-gen rental lifestyle. Their AI technology screens and automates payments for tenants with credit/debit card while enabling landlords to enjoy improved liquidity by reducing rental arrears through real time risk management and transaction monitoring. Through the UKTI network in HK, we were asked to help them set up a UK entity as they wanted to expand their business into the UK. The next step was to recommend professional advisors to enable them to get the appropriate payment institution license. Effective from 17 January 2023 KeyChain Pay, through KeyChain FinTech (UK) Limited was granted a payment institution license (SPI) by the Financial Conduct Authority (FCA) in the UK. This authorisation is a major milestone enabling KeyChain Pay to provide regulated rental payments services with remittance and payment processing in the UK market. Our client is excited to receive the license in the UK to scale their rental payment services for their existing customers and partners from HK and potential customers in UK. They look forward to expanding their footprint in UK that are seeking hassle-free rental payment services and experiences. We were able to assist the client with company formation, register for VAT and payroll services, management accounts, year-end accounts and tax compliance and advisory services.",FALSE
53,"Since July 2021, JND has been involved in a project to help a French telecoms software company establish its presence in the UK. JND has been building the brand presence for company in the UK by creating localised social media content and advising on their digital media content, such as newsletters and thought-leadership articles. Since working together, the company has increased their UK-based clients and have grown their UK-based team.",FALSE
53,"Since March 2022, JND has been involved in a project to help a French telecoms manufacturing company establish its presence in the UK. JND has been building the brand presence for company in the UK by creating localised social media content, helping with their industry award application, advising on their digital media content, such as newsletters and thought-leadership articles. Since working together, the company has appointed a full time UK-based employee, increased their UK-based clients, and won a UK industry award.",FALSE
