country_code,country_name,subject,scale,units,year_2020,year_2021
CYP,Cyprus,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-7.527,4.402
CYP,Cyprus,"Inflation, average consumer prices",Percent change,,0.7,1
CYP,Cyprus,"Inflation, end of period consumer prices",Percent change,,0.8,1
CYP,Cyprus,Unemployment rate,Percent of total labor force,,8.824,7.378
CYP,Cyprus,General government net lending/borrowing,Percent of GDP,,-1.809,1.935
CYP,Cyprus,Current account balance,Percent of GDP,,-8.286,-5.604
CZE,Czech Republic,"Gross domestic product, constant prices",Percent change,,-6.5,7.501
CZE,Czech Republic,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,388.587,425.879
CZE,Czech Republic,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-6.63,7.349
CZE,Czech Republic,"Inflation, average consumer prices",Percent change,,2.073,2
CZE,Czech Republic,"Inflation, end of period consumer prices",Percent change,,2,2
CZE,Czech Republic,Unemployment rate,Percent of total labor force,,7.5,6
CZE,Czech Republic,General government net lending/borrowing,Percent of GDP,,-4.726,-1.717
CZE,Czech Republic,Current account balance,Percent of GDP,,-2.057,-0.86
DNK,Denmark,"Gross domestic product, constant prices",Percent change,,-6.5,6
DNK,Denmark,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,300.621,324.872
DNK,Denmark,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-7.04,5.38
DNK,Denmark,"Inflation, average consumer prices",Percent change,,0.7,1.2
DNK,Denmark,"Inflation, end of period consumer prices",Percent change,,0.7,1.2
DNK,Denmark,Unemployment rate,Percent of total labor force,,6.5,6.025
DNK,Denmark,General government net lending/borrowing,Percent of GDP,,-7.036,-0.254
DNK,Denmark,Current account balance,Percent of GDP,,4.813,5.282
DJI,Djibouti,"Gross domestic product, constant prices",Percent change,,1,8.5
DJI,Djibouti,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,6.362,7.037
DJI,Djibouti,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-1.751,5.545
DJI,Djibouti,"Inflation, average consumer prices",Percent change,,2.898,2.757
DJI,Djibouti,"Inflation, end of period consumer prices",Percent change,,3.54,2
DJI,Djibouti,Unemployment rate,Percent of total labor force,,,
DJI,Djibouti,General government net lending/borrowing,Percent of GDP,,-2.724,-1.725
DJI,Djibouti,Current account balance,Percent of GDP,,-0.803,0.193
DMA,Dominica,"Gross domestic product, constant prices",Percent change,,-4.677,3.442
DMA,Dominica,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,0.813,0.858
DMA,Dominica,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-4.677,3.442
DMA,Dominica,"Inflation, average consumer prices",Percent change,,1.752,1.882
DMA,Dominica,"Inflation, end of period consumer prices",Percent change,,1.831,2
DMA,Dominica,Unemployment rate,Percent of total labor force,,,
DMA,Dominica,General government net lending/borrowing,Percent of GDP,,-4.53,-0.558
DMA,Dominica,Current account balance,Percent of GDP,,-33.833,-26.4
DOM,Dominican Republic,"Gross domestic product, constant prices",Percent change,,-0.965,4
DOM,Dominican Republic,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,198.725,210.703
DOM,Dominican Republic,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-1.946,2.97
DOM,Dominican Republic,"Inflation, average consumer prices",Percent change,,3.549,3.603
DOM,Dominican Republic,"Inflation, end of period consumer prices",Percent change,,3,4.04
DOM,Dominican Republic,Unemployment rate,Percent of total labor force,,9,7
DOM,Dominican Republic,General government net lending/borrowing,Percent of GDP,,-4.408,-2.871
DOM,Dominican Republic,Current account balance,Percent of GDP,,-5.234,-3.686
ECU,Ecuador,"Gross domestic product, constant prices",Percent change,,-6.271,3.862
ECU,Ecuador,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,192.056,203.363
ECU,Ecuador,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-7.569,2.423
ECU,Ecuador,"Inflation, average consumer prices",Percent change,,-0.005,1.163
ECU,Ecuador,"Inflation, end of period consumer prices",Percent change,,0.136,2.263
ECU,Ecuador,Unemployment rate,Percent of total labor force,,6.477,5.856
ECU,Ecuador,General government net lending/borrowing,Percent of GDP,,-7.034,-4.412
ECU,Ecuador,Current account balance,Percent of GDP,,-5.684,-3.593
EGY,Egypt,"Gross domestic product, constant prices",Percent change,,1.952,2.829
EGY,Egypt,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,1427.43,1496.43
EGY,Egypt,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-0.341,0.517
EGY,Egypt,"Inflation, average consumer prices",Percent change,,5.857,8.23
EGY,Egypt,"Inflation, end of period consumer prices",Percent change,,6.212,8.978
EGY,Egypt,Unemployment rate,Percent of total labor force,,10.294,11.611
EGY,Egypt,General government net lending/borrowing,Percent of GDP,,-7.676,-6.62
EGY,Egypt,Current account balance,Percent of GDP,,-4.257,-4.511
SLV,El Salvador,"Gross domestic product, constant prices",Percent change,,-5.44,4.46
SLV,El Salvador,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,52.888,56.324
SLV,El Salvador,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-5.899,3.949
SLV,El Salvador,"Inflation, average consumer prices",Percent change,,0.064,0.6
SLV,El Salvador,"Inflation, end of period consumer prices",Percent change,,0.4,0.8
SLV,El Salvador,Unemployment rate,Percent of total labor force,,7.9,7.5
SLV,El Salvador,General government net lending/borrowing,Percent of GDP,,-8.568,-4.576
SLV,El Salvador,Current account balance,Percent of GDP,,-4.136,-4.262
GNQ,Equatorial Guinea,"Gross domestic product, constant prices",Percent change,,-5.492,2.255
GNQ,Equatorial Guinea,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,26.828,27.968
GNQ,Equatorial Guinea,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-8.595,-0.989
GNQ,Equatorial Guinea,"Inflation, average consumer prices",Percent change,,1.653,1.653
GNQ,Equatorial Guinea,"Inflation, end of period consumer prices",Percent change,,2.117,2.183
GNQ,Equatorial Guinea,Unemployment rate,Percent of total labor force,,,
GNQ,Equatorial Guinea,General government net lending/borrowing,Percent of GDP,,-4.756,-2.377
GNQ,Equatorial Guinea,Current account balance,Percent of GDP,,-10.394,-6.984
ERI,Eritrea,"Gross domestic product, constant prices",Percent change,,0.109,5.851
ERI,Eritrea,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,6.64,7.165
ERI,Eritrea,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-1.642,4.071
ERI,Eritrea,"Inflation, average consumer prices",Percent change,,4.461,2.449
ERI,Eritrea,"Inflation, end of period consumer prices",Percent change,,4,2
ERI,Eritrea,Unemployment rate,Percent of total labor force,,,
ERI,Eritrea,General government net lending/borrowing,Percent of GDP,,-4.97,-4.529
ERI,Eritrea,Current account balance,Percent of GDP,,10.188,9.369
EST,Estonia,"Gross domestic product, constant prices",Percent change,,-7.5,7.874
EST,Estonia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,44.503,48.943
EST,Estonia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-7.547,7.845
EST,Estonia,"Inflation, average consumer prices",Percent change,,1.5,2
EST,Estonia,"Inflation, end of period consumer prices",Percent change,,1.5,2
EST,Estonia,Unemployment rate,Percent of total labor force,,6,4.69
EST,Estonia,General government net lending/borrowing,Percent of GDP,,-8.294,-3.028
EST,Estonia,Current account balance,Percent of GDP,,-2.688,-1.913
SWZ,Eswatini,"Gross domestic product, constant prices",Percent change,,-0.941,1.806
SWZ,Eswatini,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,12.368,12.837
SWZ,Eswatini,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-1.99,0.728
SWZ,Eswatini,"Inflation, average consumer prices",Percent change,,3.592,4.488
SWZ,Eswatini,"Inflation, end of period consumer prices",Percent change,,3.876,5
SWZ,Eswatini,Unemployment rate,Percent of total labor force,,,
SWZ,Eswatini,General government net lending/borrowing,Percent of GDP,,-8.932,-7.557
SWZ,Eswatini,Current account balance,Percent of GDP,,3.516,3.996
ETH,Ethiopia,"Gross domestic product, constant prices",Percent change,,3.237,4.334
ETH,Ethiopia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,253.102,269.22
ETH,Ethiopia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,1.612,2.691
ETH,Ethiopia,"Inflation, average consumer prices",Percent change,,15.366,9.146
ETH,Ethiopia,"Inflation, end of period consumer prices",Percent change,,10.24,8.02
ETH,Ethiopia,Unemployment rate,Percent of total labor force,,,
ETH,Ethiopia,General government net lending/borrowing,Percent of GDP,,-2.993,-3.428
ETH,Ethiopia,Current account balance,Percent of GDP,,-5.269,-4.64
FJI,Fiji,"Gross domestic product, constant prices",Percent change,,-5.8,7
FJI,Fiji,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,10.078,10.994
FJI,Fiji,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-6.32,6.41
FJI,Fiji,"Inflation, average consumer prices",Percent change,,1.2,1.5
FJI,Fiji,"Inflation, end of period consumer prices",Percent change,,1.2,1.5
FJI,Fiji,Unemployment rate,Percent of total labor force,,13.351,6.304
FJI,Fiji,General government net lending/borrowing,Percent of GDP,,-10.6,-4.55
FJI,Fiji,Current account balance,Percent of GDP,,-8.181,-6
FIN,Finland,"Gross domestic product, constant prices",Percent change,,-6.031,3.096
FIN,Finland,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,251.431,264.27
FIN,Finland,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-6.212,2.907
FIN,Finland,"Inflation, average consumer prices",Percent change,,0.94,1.676
FIN,Finland,"Inflation, end of period consumer prices",Percent change,,0.775,2.018
FIN,Finland,Unemployment rate,Percent of total labor force,,8.265,8.383
FIN,Finland,General government net lending/borrowing,Percent of GDP,,-6.703,-3.836
FIN,Finland,Current account balance,Percent of GDP,,-3.479,-2.974
FRA,France,"Gross domestic product, constant prices",Percent change,,-7.18,4.47
FRA,France,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,2860.02,3046.13
FRA,France,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-7.424,4.186
FRA,France,"Inflation, average consumer prices",Percent change,,0.288,0.699
FRA,France,"Inflation, end of period consumer prices",Percent change,,-0.698,1.321
FRA,France,Unemployment rate,Percent of total labor force,,10.398,10.397
FRA,France,General government net lending/borrowing,Percent of GDP,,-9.172,-6.243
FRA,France,Current account balance,Percent of GDP,,-0.725,-0.599
GAB,Gabon,"Gross domestic product, constant prices",Percent change,,-1.196,3.568
GAB,Gabon,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,39.584,41.795
GAB,Gabon,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-2.477,2.262
GAB,Gabon,"Inflation, average consumer prices",Percent change,,3,3
GAB,Gabon,"Inflation, end of period consumer prices",Percent change,,3,3
GAB,Gabon,Unemployment rate,Percent of total labor force,,,
GAB,Gabon,General government net lending/borrowing,Percent of GDP,,-2.701,-1.254
GAB,Gabon,Current account balance,Percent of GDP,,-8.377,-6.146
GMB,The Gambia,"Gross domestic product, constant prices",Percent change,,2.5,6.48
GMB,The Gambia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,6.614,7.18
GMB,The Gambia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-0.491,3.376
GMB,The Gambia,"Inflation, average consumer prices",Percent change,,6.747,6.043
GMB,The Gambia,"Inflation, end of period consumer prices",Percent change,,6.184,5.829
GMB,The Gambia,Unemployment rate,Percent of total labor force,,,
GMB,The Gambia,General government net lending/borrowing,Percent of GDP,,-2.368,-2.063
GMB,The Gambia,Current account balance,Percent of GDP,,-9.762,-9.801
GEO,Georgia,"Gross domestic product, constant prices",Percent change,,-3.999,3
GEO,Georgia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,46.286,48.605
GEO,Georgia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-3.485,2.92
GEO,Georgia,"Inflation, average consumer prices",Percent change,,4.641,3.693
GEO,Georgia,"Inflation, end of period consumer prices",Percent change,,3.5,3.041
GEO,Georgia,Unemployment rate,Percent of total labor force,,,
GEO,Georgia,General government net lending/borrowing,Percent of GDP,,-7.488,-3.409
GEO,Georgia,Current account balance,Percent of GDP,,-10.468,-6.861
DEU,Germany,"Gross domestic product, constant prices",Percent change,,-6.952,5.151
DEU,Germany,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,4160.93,4460.55
DEU,Germany,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-6.961,5.215
DEU,Germany,"Inflation, average consumer prices",Percent change,,0.322,1.183
DEU,Germany,"Inflation, end of period consumer prices",Percent change,,0.203,1.34
DEU,Germany,Unemployment rate,Percent of total labor force,,3.886,3.452
DEU,Germany,General government net lending/borrowing,Percent of GDP,,-5.523,-1.193
DEU,Germany,Current account balance,Percent of GDP,,6.58,6.662
GHA,Ghana,"Gross domestic product, constant prices",Percent change,,1.487,5.868
GHA,Ghana,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,209.179,225.771
GHA,Ghana,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-0.526,4.163
GHA,Ghana,"Inflation, average consumer prices",Percent change,,9.653,8.547
GHA,Ghana,"Inflation, end of period consumer prices",Percent change,,9.933,8.2
GHA,Ghana,Unemployment rate,Percent of total labor force,,,
GHA,Ghana,General government net lending/borrowing,Percent of GDP,,-9.954,-5.42
GHA,Ghana,Current account balance,Percent of GDP,,-4.453,-2.956
GRC,Greece,"Gross domestic product, constant prices",Percent change,,-10.04,5.064
GRC,Greece,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,293.009,313.849
GRC,Greece,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-9.821,5.333
GRC,Greece,"Inflation, average consumer prices",Percent change,,-0.456,1.015
GRC,Greece,"Inflation, end of period consumer prices",Percent change,,-0.637,1.365
GRC,Greece,Unemployment rate,Percent of total labor force,,22.328,18.987
GRC,Greece,General government net lending/borrowing,Percent of GDP,,-8.974,-7.907
GRC,Greece,Current account balance,Percent of GDP,,-6.498,-3.386
GRD,Grenada,"Gross domestic product, constant prices",Percent change,,-8.001,6.096
GRD,Grenada,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,1.681,1.819
GRD,Grenada,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-8.425,5.598
GRD,Grenada,"Inflation, average consumer prices",Percent change,,0.237,1.216
GRD,Grenada,"Inflation, end of period consumer prices",Percent change,,0.284,1.259
GRD,Grenada,Unemployment rate,Percent of total labor force,,,
GRD,Grenada,General government net lending/borrowing,Percent of GDP,,-0.431,2.025
GRD,Grenada,Current account balance,Percent of GDP,,-27.743,-18.025
GTM,Guatemala,"Gross domestic product, constant prices",Percent change,,-1.963,5.456
GTM,Guatemala,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,150.731,162.054
GTM,Guatemala,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-3.915,3.357
GTM,Guatemala,"Inflation, average consumer prices",Percent change,,1.829,1.781
GTM,Guatemala,"Inflation, end of period consumer prices",Percent change,,1.571,3.093
GTM,Guatemala,Unemployment rate,Percent of total labor force,,,
GTM,Guatemala,General government net lending/borrowing,Percent of GDP,,-4.444,-2.884
GTM,Guatemala,Current account balance,Percent of GDP,,2.588,1.817
GIN,Guinea,"Gross domestic product, constant prices",Percent change,,2.92,7.61
GIN,Guinea,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,34.585,37.943
GIN,Guinea,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,0.41,4.985
GIN,Guinea,"Inflation, average consumer prices",Percent change,,8.5,8
GIN,Guinea,"Inflation, end of period consumer prices",Percent change,,8.1,8
GIN,Guinea,Unemployment rate,Percent of total labor force,,,
GIN,Guinea,General government net lending/borrowing,Percent of GDP,,-4.256,-4.08
GIN,Guinea,Current account balance,Percent of GDP,,-22.935,-16.134
GNB,Guinea-Bissau,"Gross domestic product, constant prices",Percent change,,-1.5,3
GNB,Guinea-Bissau,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,3.664,3.847
GNB,Guinea-Bissau,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-3.62,0.783
GNB,Guinea-Bissau,"Inflation, average consumer prices",Percent change,,0.848,1.5
GNB,Guinea-Bissau,"Inflation, end of period consumer prices",Percent change,,1.1,1.5
GNB,Guinea-Bissau,Unemployment rate,Percent of total labor force,,,
GNB,Guinea-Bissau,General government net lending/borrowing,Percent of GDP,,-4.089,-3.865
GNB,Guinea-Bissau,Current account balance,Percent of GDP,,-7.39,-6.438
GUY,Guyana,"Gross domestic product, constant prices",Percent change,,52.768,6.251
GUY,Guyana,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,10.989,11.903
GUY,Guyana,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,52.311,5.933
GUY,Guyana,"Inflation, average consumer prices",Percent change,,1.808,3.005
GUY,Guyana,"Inflation, end of period consumer prices",Percent change,,1.937,3.908
GUY,Guyana,Unemployment rate,Percent of total labor force,,,
GUY,Guyana,General government net lending/borrowing,Percent of GDP,,-0.28,-1.656
GUY,Guyana,Current account balance,Percent of GDP,,-20.384,-18.918
HTI,Haiti,"Gross domestic product, constant prices",Percent change,,-4,1.2
HTI,Haiti,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,20.135,20.774
HTI,Haiti,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-5.097,0.065
HTI,Haiti,"Inflation, average consumer prices",Percent change,,22.189,21.318
HTI,Haiti,"Inflation, end of period consumer prices",Percent change,,23,20
HTI,Haiti,Unemployment rate,Percent of total labor force,,,
HTI,Haiti,General government net lending/borrowing,Percent of GDP,,-5.128,-3.012
HTI,Haiti,Current account balance,Percent of GDP,,-3.569,-0.814
HND,Honduras,"Gross domestic product, constant prices",Percent change,,-2.35,4.05
HND,Honduras,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,50.496,53.566
HND,Honduras,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-4.036,2.254
HND,Honduras,"Inflation, average consumer prices",Percent change,,3.157,2.978
HND,Honduras,"Inflation, end of period consumer prices",Percent change,,2.4,4.2
HND,Honduras,Unemployment rate,Percent of total labor force,,8.031,5.767
HND,Honduras,General government net lending/borrowing,Percent of GDP,,-0.031,-0.474
HND,Honduras,Current account balance,Percent of GDP,,-2.01,-2.046
HKG,Hong Kong SAR,"Gross domestic product, constant prices",Percent change,,-4.821,3.909
HKG,Hong Kong SAR,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,461.894,489.306
HKG,Hong Kong SAR,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-5.002,3.309
HKG,Hong Kong SAR,"Inflation, average consumer prices",Percent change,,2,2.5
HKG,Hong Kong SAR,"Inflation, end of period consumer prices",Percent change,,2,2.5
HKG,Hong Kong SAR,Unemployment rate,Percent of total labor force,,4.462,3.891
HKG,Hong Kong SAR,General government net lending/borrowing,Percent of GDP,,-6.946,0.013
HKG,Hong Kong SAR,Current account balance,Percent of GDP,,6.021,4.989
HUN,Hungary,"Gross domestic product, constant prices",Percent change,,-3.1,4.2
HUN,Hungary,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,327.41,347.813
HUN,Hungary,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-3.05,4.253
HUN,Hungary,"Inflation, average consumer prices",Percent change,,3.337,3.171
HUN,Hungary,"Inflation, end of period consumer prices",Percent change,,2.988,3.092
HUN,Hungary,Unemployment rate,Percent of total labor force,,5.395,3.983
HUN,Hungary,General government net lending/borrowing,Percent of GDP,,-2.99,-1.616
HUN,Hungary,Current account balance,Percent of GDP,,-0.123,-0.581
ISL,Iceland,"Gross domestic product, constant prices",Percent change,,-7.206,6.048
ISL,Iceland,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,18.72,20.239
ISL,Iceland,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-8.939,4.35
ISL,Iceland,"Inflation, average consumer prices",Percent change,,2.28,2.5
ISL,Iceland,"Inflation, end of period consumer prices",Percent change,,2.6,2.5
ISL,Iceland,Unemployment rate,Percent of total labor force,,8,7
ISL,Iceland,General government net lending/borrowing,Percent of GDP,,-6.718,-3.99
ISL,Iceland,Current account balance,Percent of GDP,,2.131,3.409
IND,India,"Gross domestic product, constant prices",Percent change,,1.871,7.425
IND,India,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,11321.28,12399
IND,India,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,0.548,6.03
IND,India,"Inflation, average consumer prices",Percent change,,3.342,3.624
IND,India,"Inflation, end of period consumer prices",Percent change,,2.734,3.849
IND,India,Unemployment rate,Percent of total labor force,,,
IND,India,General government net lending/borrowing,Percent of GDP,,-7.422,-7.301
IND,India,Current account balance,Percent of GDP,,-0.592,-1.422
IDN,Indonesia,"Gross domestic product, constant prices",Percent change,,0.499,8.204
IDN,Indonesia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,3778.13,4167.8
IDN,Indonesia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-0.504,7.153
IDN,Indonesia,"Inflation, average consumer prices",Percent change,,2.87,2.937
IDN,Indonesia,"Inflation, end of period consumer prices",Percent change,,3.092,3
IDN,Indonesia,Unemployment rate,Percent of total labor force,,7.5,6
IDN,Indonesia,General government net lending/borrowing,Percent of GDP,,-5.01,-3.978
IDN,Indonesia,Current account balance,Percent of GDP,,-3.169,-2.684
IRN,Islamic Republic of Iran,"Gross domestic product, constant prices",Percent change,,-5.985,3.117
IRN,Islamic Republic of Iran,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,1411.09,1483.45
IRN,Islamic Republic of Iran,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-6.967,2.09
IRN,Islamic Republic of Iran,"Inflation, average consumer prices",Percent change,,34.215,33.5
IRN,Islamic Republic of Iran,"Inflation, end of period consumer prices",Percent change,,42,25
IRN,Islamic Republic of Iran,Unemployment rate,Percent of total labor force,,16.327,16.669
IRN,Islamic Republic of Iran,General government net lending/borrowing,Percent of GDP,,-9.812,-7.715
IRN,Islamic Republic of Iran,Current account balance,Percent of GDP,,-4.146,-3.446
IRQ,Iraq,"Gross domestic product, constant prices",Percent change,,-4.723,7.195
IRQ,Iraq,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,679.098,742.149
IRQ,Iraq,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-7.138,4.478
IRQ,Iraq,"Inflation, average consumer prices",Percent change,,0.8,1
IRQ,Iraq,"Inflation, end of period consumer prices",Percent change,,1,1
IRQ,Iraq,Unemployment rate,Percent of total labor force,,,
IRQ,Iraq,General government net lending/borrowing,Percent of GDP,,-22.298,-14.699
IRQ,Iraq,Current account balance,Percent of GDP,,-21.664,-14.073
IRL,Ireland,"Gross domestic product, constant prices",Percent change,,-6.781,6.274
IRL,Ireland,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,392.014,424.732
IRL,Ireland,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-7.886,5.274
IRL,Ireland,"Inflation, average consumer prices",Percent change,,0.4,1.7
IRL,Ireland,"Inflation, end of period consumer prices",Percent change,,1.492,1.8
IRL,Ireland,Unemployment rate,Percent of total labor force,,12.109,7.866
IRL,Ireland,General government net lending/borrowing,Percent of GDP,,-5.239,-0.76
IRL,Ireland,Current account balance,Percent of GDP,,6.265,5.309
ISR,Israel,"Gross domestic product, constant prices",Percent change,,-6.288,4.978
ISR,Israel,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,334.675,358.186
ISR,Israel,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-8.057,2.996
ISR,Israel,"Inflation, average consumer prices",Percent change,,-1.902,0.543
ISR,Israel,"Inflation, end of period consumer prices",Percent change,,-1.5,0.275
ISR,Israel,Unemployment rate,Percent of total labor force,,12,7.6
ISR,Israel,General government net lending/borrowing,Percent of GDP,,-10.211,-5.864
ISR,Israel,Current account balance,Percent of GDP,,3.545,3.152
ITA,Italy,"Gross domestic product, constant prices",Percent change,,-9.134,4.83
ITA,Italy,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,2244.77,2399.06
ITA,Italy,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-8.943,5.048
ITA,Italy,"Inflation, average consumer prices",Percent change,,0.24,0.655
ITA,Italy,"Inflation, end of period consumer prices",Percent change,,0.24,0.655
ITA,Italy,Unemployment rate,Percent of total labor force,,12.7,10.5
ITA,Italy,General government net lending/borrowing,Percent of GDP,,-8.339,-3.474
ITA,Italy,Current account balance,Percent of GDP,,3.051,3.05
JAM,Jamaica,"Gross domestic product, constant prices",Percent change,,-5.605,3.501
JAM,Jamaica,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,26.516,27.98
JAM,Jamaica,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-5.565,3.545
JAM,Jamaica,"Inflation, average consumer prices",Percent change,,5.1,5.15
JAM,Jamaica,"Inflation, end of period consumer prices",Percent change,,4.9,5.4
JAM,Jamaica,Unemployment rate,Percent of total labor force,,,
JAM,Jamaica,General government net lending/borrowing,Percent of GDP,,-0.912,-0.16
JAM,Jamaica,Current account balance,Percent of GDP,,-7.834,-3.112
JPN,Japan,"Gross domestic product, constant prices",Percent change,,-5.163,3.012
JPN,Japan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,5451.45,5725.13
JPN,Japan,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-4.836,3.402
JPN,Japan,"Inflation, average consumer prices",Percent change,,0.227,0.379
JPN,Japan,"Inflation, end of period consumer prices",Percent change,,,0.362
JPN,Japan,Unemployment rate,Percent of total labor force,,3,2.267
JPN,Japan,General government net lending/borrowing,Percent of GDP,,-7.09,-2.061
JPN,Japan,Current account balance,Percent of GDP,,1.659,1.885
JOR,Jordan,"Gross domestic product, constant prices",Percent change,,-3.735,3.656
JOR,Jordan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,93.256,98.55
JOR,Jordan,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-5.045,2.534
JOR,Jordan,"Inflation, average consumer prices",Percent change,,0.2,1.6
JOR,Jordan,"Inflation, end of period consumer prices",Percent change,,1.363,1.016
JOR,Jordan,Unemployment rate,Percent of total labor force,,,
JOR,Jordan,General government net lending/borrowing,Percent of GDP,,-6.698,-5.661
JOR,Jordan,Current account balance,Percent of GDP,,-5.769,-5.264
KAZ,Kazakhstan,"Gross domestic product, constant prices",Percent change,,-2.53,4.134
KAZ,Kazakhstan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,530.646,563.356
KAZ,Kazakhstan,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-3.768,2.811
KAZ,Kazakhstan,"Inflation, average consumer prices",Percent change,,6.902,6.766
KAZ,Kazakhstan,"Inflation, end of period consumer prices",Percent change,,8.093,6.493
KAZ,Kazakhstan,Unemployment rate,Percent of total labor force,,7.779,5.779
KAZ,Kazakhstan,General government net lending/borrowing,Percent of GDP,,-5.264,-2.681
KAZ,Kazakhstan,Current account balance,Percent of GDP,,-6.789,-5.485
KEN,Kenya,"Gross domestic product, constant prices",Percent change,,1.01,6.133
KEN,Kenya,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,194.401,210.345
